player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,2,0,0,24,11,0,45.8,2.61,1.20,0.08,0.18,1.4,1.4,0.06,+0.6,+0.6,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1,0,0,12,3,0,25.0,0.37,0.09,0.08,0.33,0.8,0.8,0.07,+0.2,+0.2,Matches
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,0,0,1,0,0,0.0,0.38,0.00,0.00,,0.3,0.3,0.26,-0.3,-0.3,Matches
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1,0,0,14,2,3,14.3,0.63,0.09,0.07,0.50,0.8,0.8,0.06,+0.2,+0.2,Matches
Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,0,0,0,6,2,0,33.3,0.50,0.17,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,5,0,0,46,19,0,41.3,2.41,1.00,0.11,0.26,3.3,3.3,0.07,+1.7,+1.7,Matches
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2,0,0,21,6,0,28.6,2.39,0.68,0.10,0.33,1.4,1.4,0.07,+0.6,+0.6,Matches
José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,0,0,0,11,5,0,45.5,2.94,1.34,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,4,0,0,63,17,9,27.0,2.01,0.54,0.06,0.24,2.4,2.4,0.04,+1.6,+1.6,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,0,0,0,3,0,0,0.0,0.42,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,0,0,0,2,0,0,0.0,0.28,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
